"Condition","Surgical","Nonsurgical"
"Vascular ring","1.1.1.30.14","2.1.1.30.14"
"Laryngospasm","1.1.1.30.15","2.1.1.30.15"
"Mouth, mandible, pharynx, or facial bones trauma","1.1.1.38.1","2.1.1.38.1"
"Laryngeal trauma or perforation","1.1.1.38.2","2.1.1.38.2"
"Tracheal trauma or perforation","1.1.1.38.3","2.1.1.38.3"
"Head or neck tumour not intra-oral or intra-cranial","1.1.1.39.1","2.1.1.39.1"
"Intra-oral or pharyngeal tumour","1.1.1.39.2","2.1.1.39.2"
"Tracheal tumour","1.1.1.39.3","2.1.1.39.3"
"Laryngeal tumour","1.1.1.39.4","2.1.1.39.4"
"Vascular ring","1.1.1.41.1","2.1.1.41.1"
"Cystic fibrosis","1.1.2.8.1","2.1.2.8.1"
"Bronchopulmonary dysplasia","1.1.2.8.2","2.1.2.8.2"
"Bronchial haemorrhage","1.1.2.15.1","2.1.2.15.1"
"Acute bronchitis or laryngotracheobronchitis","1.1.2.27.1","2.1.2.27.1"
"Exacerbation of chronic obstructive airways disease (COAD/COPD)","1.1.2.27.2","2.1.2.27.2"
"Exacerbation of bronchiectasis","1.1.2.27.3","2.1.2.27.3"
"Bronchiolitis","1.1.2.27.4","2.1.2.27.4"
"Smoke inhalation","1.1.2.28.1","2.1.2.28.1"
"Bronchiolitis obliterans","1.1.2.28.2","2.1.2.28.2"
"Asthma attack in new or known asthmatic","1.1.2.30.1","2.1.2.30.1"
"Drug, procedure or transfusion induced bronchospasm in non-asthmatic","1.1.2.30.2","2.1.2.30.2"
"Obstruction by foreign body","1.1.2.30.3","2.1.2.30.3"
"Sputum retention","1.1.2.30.4","2.1.2.30.4"
"Extrinsic compression of bronchus by tumour","1.1.2.30.5","2.1.2.30.5"
"Chronic obstructive airways disease (COAD/COPD)","1.1.2.30.6","2.1.2.30.6"
"Meconium aspiration","1.1.2.30.7","2.1.2.30.7"
"Bronchiolitis obliterans","1.1.2.30.8","2.1.2.30.8"
"Traumatic rupture or perforation of bronchus","1.1.2.38.1","2.1.2.38.1"
"Instrumental perforation of bronchus","1.1.2.38.2","2.1.2.38.2"
"Bronchial tumour","1.1.2.39.1","2.1.2.39.1"
"Anomalous pulmonary venous drainage","1.1.3.8.1","2.1.3.8.1"
"Pulmonary arterio-venous malformations","1.1.3.8.2","2.1.3.8.2"
"Transposition of great arteries","1.1.3.8.3","2.1.3.8.3"
"Patent ductus arteriosus","1.1.3.8.4","2.1.3.8.4"
"Truncus arteriosus","1.1.3.8.5","2.1.3.8.5"
"Goodpastures syndrome","1.1.3.15.1","2.1.3.15.1"
"Pulmonary vasculitis not defined","1.1.3.15.2","2.1.3.15.2"
"Leptospirosis","1.1.3.15.3","2.1.3.15.3"
"Pulmonary haemorrhage due to contusion","1.1.3.15.4","2.1.3.15.4"
"Pulmonary haemorrhage not defined","1.1.3.15.5","2.1.3.15.5"
"Idiopathic pulmonary hypertension","1.1.3.19.1","2.1.3.19.1"
"Eisenmenger's syndrome","1.1.3.19.2","2.1.3.19.2"
"Cor pulmonale","1.1.3.19.3","2.1.3.19.3"
"Goodpastures syndrome","1.1.3.28.1","2.1.3.28.1"
"Pulmonary vasculitis not defined","1.1.3.28.2","2.1.3.28.2"
"Pulmonary embolus (thrombus)","1.1.3.30.1","2.1.3.30.1"
"Fat embolus","1.1.3.30.2","2.1.3.30.2"
"Venous air embolus","1.1.3.30.3","2.1.3.30.3"
"Pulmonary tumour embolus","1.1.3.30.4","2.1.3.30.4"
"Amniotic fluid embolus","1.1.3.30.5","2.1.3.30.5"
"Traumatic damage to pulmonary vessels","1.1.3.38.1","2.1.3.38.1"
"Instrumental damage to pulmonary vessels","1.1.3.38.2","2.1.3.38.2"
"Lung collapse or atelectasis","1.1.4.6.1","2.1.4.6.1"
"Non-traumatic haemothorax","1.1.4.6.2","2.1.4.6.2"
"Traumatic haemothorax or haemopneumothorax","1.1.4.6.3","2.1.4.6.3"
"Lung collapse due to pneumothorax","1.1.4.6.4","2.1.4.6.4"
"Lung collapse secondary to broncho-pleural fistula","1.1.4.6.5","2.1.4.6.5"
"Lung cyst","1.1.4.8.1","2.1.4.8.1"
"Cystic fibrosis","1.1.4.8.2","2.1.4.8.2"
"Pulmonary haemorrhage due to contusion","1.1.4.15.1","2.1.4.15.1"
"Goodpasture's syndrome","1.1.4.15.2","2.1.4.15.2"
"Leptospirosis","1.1.4.15.3","2.1.4.15.3"
"Pulmonary haemorrhage not defined","1.1.4.15.4","2.1.4.15.4"
"Pulmonary vasculitis not defined","1.1.4.15.5","2.1.4.15.5"
"Bacterial pneumonia","1.1.4.27.1","2.1.4.27.1"
"Fungal or yeast pneumonia","1.1.4.27.2","2.1.4.27.2"
"Viral pneumonia","1.1.4.27.3","2.1.4.27.3"
"Parasitic pneumonia","1.1.4.27.4","2.1.4.27.4"
"Pneumonia, no organism isolated","1.1.4.27.5","2.1.4.27.5"
"Tuberculosis","1.1.4.27.6","2.1.4.27.6"
"Lung abscess","1.1.4.27.7","2.1.4.27.7"
"Sarcoidosis","1.1.4.31.2","2.1.4.31.2"
"Pulmonary fibrosis or fibrosing alveolitis","1.1.4.31.3","2.1.4.31.3"
"Emphysema","1.1.4.31.4","2.1.4.31.4"
"Inhalation pneumonitis (gastrointestinal contents)","1.1.4.31.5","2.1.4.31.5"
"Inhalation pneumonitis (blood)","1.1.4.31.6","2.1.4.31.6"
"Inhalation pneumonitis (smoke or gases)","1.1.4.31.7","2.1.4.31.7"
"Drowning (fresh or salt water)","1.1.4.31.8","2.1.4.31.8"
"Cardiogenic pulmonary oedema","1.1.4.31.9","2.1.4.31.9"
"Non-cardiogenic pulmonary oedema (ARDS)","1.1.4.31.10","2.1.4.31.10"
"Neurogenic pulmonary oedema","1.1.4.31.11","2.1.4.31.11"
"Post-radiotherapy pneumonitis or fibrosis","1.1.4.31.13","2.1.4.31.13"
"Lymphangitis carcinomatosis","1.1.4.31.14","2.1.4.31.14"
"Meconium aspiration","1.1.4.31.15","2.1.4.31.15"
"Hyaline membrane disease","1.1.4.31.16","2.1.4.31.16"
"Lung transplant","1.1.4.37.1","2.1.4.37.1"
"Rejection of lung transplant","1.1.4.37.2","2.1.4.37.2"
"Pulmonary contusion","1.1.4.38.1","2.1.4.38.1"
"Primary lung tumour","1.1.4.39.1","2.1.4.39.1"
"Secondary lung tumour","1.1.4.39.2","2.1.4.39.2"
"Pleural thickening or calcification","1.1.5.8.1","2.1.5.8.1"
"Hiatus hernia","1.1.5.8.2","2.1.5.8.2"
"Diaphragmatic hernia","1.1.5.8.3","2.1.5.8.3"
"Pleural effusion","1.1.5.8.4","2.1.5.8.4"
"Non-traumatic haemothorax","1.1.5.15.1","2.1.5.15.1"
"Traumatic haemothorax or haemopneumothorax","1.1.5.15.2","2.1.5.15.2"
"Pleurisy","1.1.5.27.1","2.1.5.27.1"
"Empyema or infected effusion","1.1.5.27.2","2.1.5.27.2"
"Mediastinitis","1.1.5.27.3","2.1.5.27.3"
"Tuberculosis","1.1.5.27.4","2.1.5.27.4"
"Traumatic haemothorax or haemopneumothorax","1.1.5.38.1","2.1.5.38.1"
"Traumatic pneumothorax","1.1.5.38.2","2.1.5.38.2"
"Traumatic broncho-pleural fistula","1.1.5.38.3","2.1.5.38.3"
"Chylothorax","1.1.5.38.4","2.1.5.38.4"
"Mesothelioma","1.1.5.39.1","2.1.5.39.1"
"Mediastinal tumour","1.1.5.39.2","2.1.5.39.2"
"Toxic or drug-induced coma or encephalopathy","1.1.10.7.1","2.1.10.7.1"
"Metabolic coma or encephalopathy","1.1.10.7.2","2.1.10.7.2"
"Anoxic or ischaemic coma or encephalopathy","1.1.10.7.3","2.1.10.7.3"
"Degenerative coma or encephalopathy","1.1.10.7.4","2.1.10.7.4"
"Post-anaesthetic encephalopathy aetiology uncertain","1.1.10.7.5","2.1.10.7.5"
"Brainstem death","1.1.10.7.6","2.1.10.7.6"
"Primary brain injury","1.1.10.7.7","2.1.10.7.7"
"Congenital hydrocephalus","1.1.10.8.1","2.1.10.8.1"
"Secondary hydrocephalus","1.1.10.8.2","2.1.10.8.2"
"Arnold-Chiari malformation","1.1.10.8.3","2.1.10.8.3"
"Congenital abnormality of skull","1.1.10.8.4","2.1.10.8.4"
"Parkinson's Disease","1.1.10.8.5","2.1.10.8.5"
"Multiple sclerosis","1.1.10.8.6","2.1.10.8.6"
"Central hypoventilation (Ondine's curse)","1.1.10.8.7","2.1.10.8.7"
"Intracerebral bleeding","1.1.10.15.1","2.1.10.15.1"
"Subarachnoid bleeding","1.1.10.15.2","2.1.10.15.2"
"Subdural haematoma","1.1.10.15.3","2.1.10.15.3"
"Extradural haematoma","1.1.10.15.4","2.1.10.15.4"
"Meningitis","1.1.10.27.1","2.1.10.27.1"
"Encephalitis","1.1.10.27.2","2.1.10.27.2"
"Intracranial abscess","1.1.10.27.3","2.1.10.27.3"
"Infected CSF shunt","1.1.10.27.4","2.1.10.27.4"
"Status epilepticus or uncontrolled seizures","1.1.10.33.1","2.1.10.33.1"
"Eclampsia","1.1.10.33.2","2.1.10.33.2"
"Alcohol withdrawal seizures","1.1.10.33.3","2.1.10.33.3"
"Primary brain injury","1.1.10.38.1","2.1.10.38.1"
"Subdural haematoma","1.1.10.38.2","2.1.10.38.2"
"Extradural haematoma","1.1.10.38.3","2.1.10.38.3"
"Non-accidental injury to brain","1.1.10.38.4","2.1.10.38.4"
"Primary brain or meningeal tumour","1.1.10.39.1","2.1.10.39.1"
"Secondary intracranial tumour","1.1.10.39.2","2.1.10.39.2"
"Berry or other intracranial aneurysm","1.1.10.41.1","2.1.10.41.1"
"Intracranial arterio-venous malformation","1.1.10.41.2","2.1.10.41.2"
"Thrombo-occlusive disease of brain","1.1.10.41.3","2.1.10.41.3"
"Venous air embolus","1.1.10.41.4","2.1.10.41.4"
"Vasculitis of cerebral circulation","1.1.10.41.5","2.1.10.41.5"
"Embolic brain lesions causing respiratory failure","1.1.10.41.6","2.1.10.41.6"
"Motor neurone disease","1.1.6.9.1","2.1.6.9.1"
"Chronic spinal cord injury","1.1.6.9.2","2.1.6.9.2"
"Epidural injection or infusion","1.1.6.12.1","2.1.6.12.1"
"Spinal injection or infusion","1.1.6.12.2","2.1.6.12.2"
"Epidural or subdural abscess","1.1.6.27.1","2.1.6.27.1"
"Poliomyelitis","1.1.6.27.2","2.1.6.27.2"
"Tetanus","1.1.6.27.3","2.1.6.27.3"
"Cervical cord injury","1.1.6.38.1","2.1.6.38.1"
"Chronic spinal cord injury","1.1.6.38.2","2.1.6.38.2"
"Pseudocholinesterase deficiency","1.1.7.8.1","2.1.7.8.1"
"Failure of reversal of non-depolarising neuromuscular blockers","1.1.7.8.2","2.1.7.8.2"
"Infective polyneuropathy","1.1.7.27.1","2.1.7.27.1"
"Guillain-Barré syndrome","1.1.7.28.1","2.1.7.28.1"
"Toxic polyneuropathy","1.1.7.28.2","2.1.7.28.2"
"Pseudocholinesterase deficiency","1.1.8.8.1","2.1.8.8.1"
"Failure of reversal of non-depolarising neuromuscular blockers","1.1.8.8.2","2.1.8.8.2"
"Myasthenia gravis","1.1.8.28.1","2.1.8.28.1"
"Thoracoplasty","1.1.9.8.1","2.1.9.8.1"
"Kyphoscoliosis","1.1.9.8.2","2.1.9.8.2"
"Congenital chest wall deformity","1.1.9.8.3","2.1.9.8.3"
"Congenital muscular dystrophy","1.1.9.8.4","2.1.9.8.4"
"Diaphragmatic hernia","1.1.9.8.5","2.1.9.8.5"
"Ankylosing spondylitis","1.1.9.8.6","2.1.9.8.6"
"Flail chest","1.1.9.38.1","2.1.9.38.1"
"Flail sternum","1.1.9.38.2","2.1.9.38.2"
"Fractured ribs","1.1.9.38.3","2.1.9.38.3"
"Penetrating injury to chest wall","1.1.9.38.4","2.1.9.38.4"
"Ruptured diaphragm","1.1.9.38.5","2.1.9.38.5"
"Coronary sinus fistula","1.2.1.8.1","2.2.1.8.1"
"Anomalous coronary artery","1.2.1.8.2","2.2.1.8.2"
"Haemorrhage from coronary arteries","1.2.1.15.1","2.2.1.15.1"
"Mediastinitis","1.2.1.27.1","2.2.1.27.1"
"Kawasaki syndrome","1.2.1.28.1","2.2.1.28.1"
"Acute myocardial infarction","1.2.1.30.1","2.2.1.30.1"
"Acute crescendo or unstable angina","1.2.1.30.2","2.2.1.30.2"
"Chronic angina","1.2.1.30.3","2.2.1.30.3"
"CABG for acute myocardial infarction","1.2.1.30.4","2.2.1.30.4"
"CABG for acute crescendo or unstable angina","1.2.1.30.5","2.2.1.30.5"
"CABG for chronic angina","1.2.1.30.6","2.2.1.30.6"
"Myocardial ischaemia without angina","1.2.1.30.7","2.2.1.30.7"
"Traumatic damage to coronary arteries","1.2.1.38.1","2.2.1.38.1"
"Instrumental damage to coronary arteries","1.2.1.38.2","2.2.1.38.2"
"Complex congenital cardiac abnormality","1.2.2.8.1","2.2.2.8.1"
"Atrial septal defect","1.2.2.8.2","2.2.2.8.2"
"Congenital ventricular septal defect","1.2.2.8.3","2.2.2.8.3"
"Ischaemic ventricular septal defect","1.2.2.8.4","2.2.2.8.4"
"Tetralogy of Fallot","1.2.2.8.6","2.2.2.8.6"
"AV canal defect","1.2.2.8.7","2.2.2.8.7"
"Transposition of great arteries","1.2.2.8.8","2.2.2.8.8"
"Hypertrophic cardiomyopathy","1.2.2.8.9","2.2.2.8.9"
"Toxic myocarditis","1.2.2.8.10","2.2.2.8.10"
"Single ventricle","1.2.2.8.12","2.2.2.8.12"
"Right ventricular outflow tract obstruction","1.2.2.8.13","2.2.2.8.13"
"Left ventricular outflow tract obstruction","1.2.2.8.14","2.2.2.8.14"
"Double outlet left ventricle","1.2.2.8.15","2.2.2.8.15"
"Hypoplastic left or right ventricle","1.2.2.8.16","2.2.2.8.16"
"Ventricular aneurysm","1.2.2.8.17","2.2.2.8.17"
"Left ventricular failure","1.2.2.13.1","2.2.2.13.1"
"Right ventricular failure","1.2.2.13.2","2.2.2.13.2"
"Bi-ventricular failure","1.2.2.13.3","2.2.2.13.3"
"Cardiogenic shock","1.2.2.13.4","2.2.2.13.4"
"Cor pulmonale","1.2.2.13.5","2.2.2.13.5"
"Viral or bacterial cardiomyopathy","1.2.2.27.1","2.2.2.27.1"
"Myocardial or septal abscess","1.2.2.27.2","2.2.2.27.2"
"Myocarditis","1.2.2.27.3","2.2.2.27.3"
"Non-valvular endocarditis","1.2.2.27.4","2.2.2.27.4"
"Toxic myopathy","1.2.2.28.1","2.2.2.28.1"
"Myocarditis","1.2.2.28.2","2.2.2.28.2"
"Heart or heart-lung transplant","1.2.2.37.1","2.2.2.37.1"
"Cardiac transplant rejection","1.2.2.37.2","2.2.2.37.2"
"Myocardial contusion","1.2.2.38.1","2.2.2.38.1"
"Instrumental damage to myocardium","1.2.2.38.2","2.2.2.38.2"
"Ischaemic myocardial perforation","1.2.2.38.3","2.2.2.38.3"
"Ischaemic ventricular septal defect","1.2.2.38.4","2.2.2.38.4"
"Traumatic myocardial perforation","1.2.2.38.5","2.2.2.38.5"
"Haemopericardium or tamponade post surgery","1.2.2.38.6","2.2.2.38.6"
"Papillary muscle rupture","1.2.2.38.7","2.2.2.38.7"
"Myxoma","1.2.2.39.1","2.2.2.39.1"
"Ischaemic cardiomyopathy","1.2.2.41.1","2.2.2.41.1"
"Ischaemic ventricular septal defect","1.2.2.41.2","2.2.2.41.2"
"Papillary muscle rupture","1.2.2.41.3","2.2.2.41.3"
"Acute myocardial infarction","1.2.2.41.4","2.2.2.41.4"
"Constrictive pericarditis","1.2.3.8.1","2.2.3.8.1"
"Pericardial effusion","1.2.3.8.2","2.2.3.8.2"
"Haemopericardium from instrumental myocardial perforation","1.2.3.15.1","2.2.3.15.1"
"Haemopericardium from ischaemic myocardial perforation","1.2.3.15.2","2.2.3.15.2"
"Haemopericardium from traumatic myocardial perforation","1.2.3.15.3","2.2.3.15.3"
"Haemopericardium from coronary artery damage","1.2.3.15.4","2.2.3.15.4"
"Haemopericardium or tamponade post surgery","1.2.3.15.5","2.2.3.15.5"
"Infective pericarditis","1.2.3.27.1","2.2.3.27.1"
"Mediastinitis","1.2.3.27.2","2.2.3.27.2"
"Pericardial effusion","1.2.3.28.1","2.2.3.28.1"
"Malignant pericardial effusion","1.2.3.39.1","2.2.3.39.1"
"Abnormality of aortic valve","1.2.4.8.1","2.2.4.8.1"
"Abnormality of mitral valve","1.2.4.8.2","2.2.4.8.2"
"Abnormality of pulmonary valve","1.2.4.8.3","2.2.4.8.3"
"Abnormality of tricuspid valve","1.2.4.8.4","2.2.4.8.4"
"Tetralogy of Fallot","1.2.4.8.5","2.2.4.8.5"
"AV canal defect","1.2.4.8.6","2.2.4.8.6"
"Abnormality of prosthetic valve","1.2.4.8.7","2.2.4.8.7"
"Chronic degeneration of aortic valve","1.2.4.9.1","2.2.4.9.1"
"Chronic degeneration of mitral valve","1.2.4.9.2","2.2.4.9.2"
"Chronic degeneration of pulmonary valve","1.2.4.9.3","2.2.4.9.3"
"Chronic degeneration of tricuspid valve","1.2.4.9.4","2.2.4.9.4"
"Endocarditis of aortic valve","1.2.4.27.1","2.2.4.27.1"
"Endocarditis of mitral valve","1.2.4.27.2","2.2.4.27.2"
"Endocarditis of pulmonary valve","1.2.4.27.3","2.2.4.27.3"
"Endocarditis of tricuspid valve","1.2.4.27.4","2.2.4.27.4"
"Aortic root abscess","1.2.4.27.5","2.2.4.27.5"
"Infection of prosthetic heart valve","1.2.4.27.6","2.2.4.27.6"
"Non-valvular endocarditis","1.2.4.27.7","2.2.4.27.7"
"Trauma to aortic valve","1.2.4.38.1","2.2.4.38.1"
"Trauma to mitral valve","1.2.4.38.2","2.2.4.38.2"
"Trauma to pulmonary valve","1.2.4.38.3","2.2.4.38.3"
"Trauma to tricuspid valve","1.2.4.38.4","2.2.4.38.4"
"Instrumental damage to heart valves","1.2.4.38.5","2.2.4.38.5"
"Papillary muscle rupture","1.2.4.38.6","2.2.4.38.6"
"Myxoma","1.2.4.39.1","2.2.4.39.1"
"Papillary muscle rupture","1.2.4.41.1","2.2.4.41.1"
"Wolff-Parkinson-White syndrome","1.2.5.8.1","2.2.5.8.1"
"Lown-Ganong-Levine syndrome","1.2.5.8.2","2.2.5.8.2"
"Infected artificial pacemaker","1.2.5.27.1","2.2.5.27.1"
"Supra-ventricular tachycardia, atrial fibrillation or flutter","1.2.5.32.1","2.2.5.32.1"
"Ventricular tachycardia or fibrillation","1.2.5.32.2","2.2.5.32.2"
"Atrial premature beats or ectopics","1.2.5.32.3","2.2.5.32.3"
"Ventricular ectopics","1.2.5.32.4","2.2.5.32.4"
"Heart block","1.2.5.40.1","2.2.5.40.1"
"Coarctation of the aorta","1.2.6.8.1","2.2.6.8.1"
"Marfan's syndrome","1.2.6.8.2","2.2.6.8.2"
"Congenital abnormality of aortic arch","1.2.6.8.3","2.2.6.8.3"
"Transposition of great arteries","1.2.6.8.4","2.2.6.8.4"
"Truncus arteriosus","1.2.6.8.5","2.2.6.8.5"
"Patent ductus arteriosus","1.2.6.8.6","2.2.6.8.6"
"Traumatic dissection of thoracic aorta","1.2.6.11.1","2.2.6.11.1"
"Non-traumatic dissection of thoracic aorta","1.2.6.11.2","2.2.6.11.2"
"Thoracic or thoraco-abdominal aortic aneurysm","1.2.6.11.3","2.2.6.11.3"
"Infected thoracic aortic prosthesis","1.2.6.27.1","2.2.6.27.1"
"Aortic root abscess","1.2.6.27.2","2.2.6.27.2"
"Syphilitic aortitis","1.2.6.27.3","2.2.6.27.3"
"Coarctation of the aorta","1.2.6.30.1","2.2.6.30.1"
"Traumatic rupture of thoracic aorta","1.2.6.38.1","2.2.6.38.1"
"Traumatic or instrumental perforation of thoracic aorta","1.2.6.38.2","2.2.6.38.2"
"Aortic or iliac dissection or aneurysm","1.2.7.11.1","2.2.7.11.1"
"Traumatic dissection or rupture of abdominal aorta or iliac vessels","1.2.7.11.2","2.2.7.11.2"
"Traumatic aorto-caval fistula","1.2.7.11.4","2.2.7.11.4"
"Traumatic aorto-enteric fistula","1.2.7.11.5","2.2.7.11.5"
"Infected aortic or iliac prosthesis","1.2.7.27.1","2.2.7.27.1"
"Occlusive aortic or iliac disease","1.2.7.30.1","2.2.7.30.1"
"Iliac or saddle embolus","1.2.7.30.2","2.2.7.30.2"
"Traumatic dissection or rupture of abdominal aorta or iliac vessels","1.2.7.38.1","2.2.7.38.1"
"Instrumental damage to abdominal aorta or iliac vessels","1.2.7.38.2","2.2.7.38.2"
"Traumatic aorto-enteric fistula","1.2.7.38.3","2.2.7.38.3"
"Traumatic aorto-caval fistula","1.2.7.38.4","2.2.7.38.4"
"Renal artery aneurysm or dissection","1.2.8.11.1","2.2.8.11.1"
"Hepatic artery aneurysm","1.2.8.11.2","2.2.8.11.2"
"Splanchnic artery aneurysm or dissection not defined","1.2.8.11.3","2.2.8.11.3"
"Renal artery stenosis or occlusion","1.2.8.30.1","2.2.8.30.1"
"Renal artery embolus","1.2.8.30.2","2.2.8.30.2"
"Renal infarction","1.2.8.30.3","2.2.8.30.3"
"Renal artery aneurysm or dissection","1.2.8.30.4","2.2.8.30.4"
"Hepatic artery stenosis or occlusion","1.2.8.30.5","2.2.8.30.5"
"Portal vein occlusion or thrombosis","1.2.8.30.6","2.2.8.30.6"
"Hepatic vein occlusion or thrombosis","1.2.8.30.7","2.2.8.30.7"
"Visceral artery stenosis or occlusion","1.2.8.30.8","2.2.8.30.8"
"Visceral artery embolism","1.2.8.30.9","2.2.8.30.9"
"Visceral infarction due to primary vascular disease","1.2.8.30.10","2.2.8.30.10"
"Small bowel infarction due to herniation, volvulus or adhesions","1.2.8.30.11","2.2.8.30.11"
"Portal hypertension","1.2.8.30.12","2.2.8.30.12"
"Traumatic damage to renal vessels","1.2.8.38.1","2.2.8.38.1"
"Traumatic damage to splanchnic vessels","1.2.8.38.2","2.2.8.38.2"
"Instrumental damage to renal or splanchnic vessels","1.2.8.38.3","2.2.8.38.3"
"Extracranial or neck arterio-venous malformation or haemangioma","1.2.9.8.1","2.2.9.8.1"
"Carotid or vertebral artery aneurysm or dissection","1.2.9.11.1","2.2.9.11.1"
"Epistaxis","1.2.9.15.1","2.2.9.15.1"
"Carotid or vertebral artery stenosis or occlusion","1.2.9.30.1","2.2.9.30.1"
"Traumatic rupture or puncture of carotid or vertebral artery","1.2.9.38.1","2.2.9.38.1"
"Instrumental damage to carotid or vertebral artery","1.2.9.38.2","2.2.9.38.2"
"Upper limb artery aneurysm or dissection","1.2.10.11.1","2.2.10.11.1"
"Lower limb artery aneurysm or dissection","1.2.10.11.2","2.2.10.11.2"
"Bleeding from limb vessel","1.2.10.15.1","2.2.10.15.1"
"Upper limb artery stenosis or occlusion","1.2.10.30.1","2.2.10.30.1"
"Lower limb artery stenosis or occlusion","1.2.10.30.2","2.2.10.30.2"
"Upper limb embolus","1.2.10.30.3","2.2.10.30.3"
"Lower limb embolus","1.2.10.30.4","2.2.10.30.4"
"Traumatic rupture or puncture of upper limb artery","1.2.10.38.1","2.2.10.38.1"
"Traumatic rupture or puncture of lower limb artery","1.2.10.38.2","2.2.10.38.2"
"Instrumental damage to limb artery","1.2.10.38.3","2.2.10.38.3"
"Infected thrombophlebitis of the great veins","1.2.11.27.1","2.2.11.27.1"
"Infected intravenous catheter in the great veins","1.2.11.27.2","2.2.11.27.2"
"Superior vena caval obstruction or thrombosis","1.2.11.30.1","2.2.11.30.1"
"Inferior vena caval obstruction or thrombosis","1.2.11.30.2","2.2.11.30.2"
"Superior vena caval damage","1.2.11.38.1","2.2.11.38.1"
"Traumatic inferior vena caval damage","1.2.11.38.2","2.2.11.38.2"
"Infected thrombophlebitis of the peripheral veins","1.2.12.27.1","2.2.12.27.1"
"Infected intravenous catheter in the peripheral veins","1.2.12.27.2","2.2.12.27.2"
"Infected arterio-venous shunt or fistula","1.2.12.27.3","2.2.12.27.3"
"Hypovolaemic shock","1.2.12.35.1","2.2.12.35.1"
"Septic shock","1.2.12.35.2","2.2.12.35.2"
"Anaphylaxis","1.2.12.35.3","2.2.12.35.3"
"Cardiogenic shock","1.2.12.35.4","2.2.12.35.4"
"Accelerated or malignant hypertension","1.2.12.19.1","2.2.12.19.1"
"Essential hypertension","1.2.12.19.2","2.2.12.19.2"
"Phaeochromocytoma","1.2.12.19.3","2.2.12.19.3"
"HELLP syndrome","1.2.12.19.4","2.2.12.19.4"
"Pre-eclampsia","1.2.12.19.5","2.2.12.19.5"
"Coarctation of the aorta","1.2.12.19.6","2.2.12.19.6"
"Anomalous pulmonary venous drainage","1.2.13.8.1","2.2.13.8.1"
"Pulmonary arterio-venous malformations","1.2.13.8.2","2.2.13.8.2"
"Transposition of great arteries","1.2.13.8.3","2.2.13.8.3"
"Patent ductus arteriosus","1.2.13.8.4","2.2.13.8.4"
"Truncus arteriosus","1.2.13.8.5","2.2.13.8.5"
"Goodpasture's syndrome","1.2.13.15.1","2.2.13.15.1"
"Pulmonary vasculitis not defined","1.2.13.15.2","2.2.13.15.2"
"Leptospirosis","1.2.13.15.3","2.2.13.15.3"
"Pulmonary haemorrhage due to contusion","1.2.13.15.4","2.2.13.15.4"
"Idiopathic pulmonary hypertension","1.2.13.19.1","2.2.13.19.1"
"Eisenmenger's syndrome","1.2.13.19.2","2.2.13.19.2"
"Cor pulmonale","1.2.13.19.3","2.2.13.19.3"
"Goodpasture's syndrome","1.2.13.28.1","2.2.13.28.1"
"Pulmonary vasculitis not defined","1.2.13.28.2","2.2.13.28.2"
"Pulmonary embolus (thrombus)","1.2.13.30.1","2.2.13.30.1"
"Fat embolus","1.2.13.30.2","2.2.13.30.2"
"Venous air embolus","1.2.13.30.3","2.2.13.30.3"
