,short,item
236,trimethoprim,Trimethoprim
237,demeclocycline hcl,Demeclocycline HCL
238,doxycycline,Doxycycline
239,tigecycline,Tigecycline
240,propofol,Propofol
241,thiopentone_thiopental,Thiopentone / Thiopental
242,midazolam,Midazolam
243,clonidine,Clonidine
244,dexmedetomidine,Dexmedetomidine
245,ketamine,Ketamine
246,fentanyl,Fentanyl
247,morphine,Morphine
248,remifentanil,Remifentanil
249,levosimendan,Levosimendan
250,adrenaline,Adrenaline
251,dobutamine,Dobutamine
252,dopamine,Dopamine
253,dopexamine,Dopexamine
254,enoximone,Enoximone
255,milrinone,Milrinone
256,noradrenaline,Noradrenaline
257,vasopressin,Vasopressin
258,terlipressin,Terlipressin
259,esmolol,Esmolol
260,metoprolol,Metoprolol
261,dexamethasone,Dexamethasone
262,hydrocortisone,Hydrocortisone
263,methylprednisolone,Methylprednisolone
