"code";"diagosis"
"1.1.4";"Lungs (Surgical)"
"1.1.5";"Pleura or mediastinum (Surgical)"
"1.1.6";"Spinal cord lesions causing respiratory failure (Surgical)"
"1.1.7";"Peripheral nervous system disorders causing respiratory failure (Surgical)"
"1.1.8";"Neuro, muscular junction disorders causing respiratory failure (Surgical)"
"1.1.9";"Chest wall or diaphragm disorders causing respiratory failure (Surgical)"
"1.1.1";"Brain lesions causing respiratory failure (Surgical)"
"1.2.1";"Coronary arteries (Surgical)"
"1.2.2";"Myocardium or cardiac chambers (Surgical)"
"1.2.3";"Pericardium, pericardial space or mediastinum (Surgical)"
"1.2.4";"Heart valves (Surgical)"
"1.2.5";"Conducting system or rhythm disturbances (Surgical)"
"1.2.6";"Thoracic aorta (Surgical)"
"1.2.8";"Splanchnic or renal vessels (Surgical)"
"1.2.9";"Neck or extracranial vessels (Surgical)"
"1.2.1";"Limb or limb girdle vessels (Surgical)"
"1.2.11";"Great veins (Surgical)"
"1.2.12";"Peripheral vasculature, shock or hypertension (Surgical)"
"1.2.13";"Pulmonary vasculature (Surgical)"
"1.2.14";"Uterine or ovarian vessels (Surgical)"
"1.2.15";"Abdominal aorta (Surgical)"
"1.2.16";"Iliac vessels (Surgical)"
"1.3.1";"Mouth or pharynx (Surgical)"
"1.3.2";"Oesophagus (Surgical)"
"1.3.3";"Stomach (Surgical)"
"1.3.4";"Duodenum (Surgical)"
"1.3.5";"Small bowel (Surgical)"
"1.3.6";"Large bowel, rectum or anus (Surgical)"
"1.3.7";"Liver or biliary tree (Surgical)"
"1.3.8";"Spleen (Surgical)"
"1.3.9";"Pancreas (Surgical)"
"1.3.1";"Abdominal wall or peritoneum (Surgical)"
"1.4.1";"Head, neck (extracranial) or eyes (Surgical)"
"1.4.2";"Brain, CSF, meninges or skull vault (Surgical)"
"1.4.3";"Spinal cord (Surgical)"
"1.4.4";"Peripheral nervous system (Surgical)"
"1.4.5";"Neuro,muscular junction (Surgical)"
"1.6.8";"Poisoning (Surgical)"
"1.7.1";"Kidney or ureter (Surgical)"
"1.7.2";"Bladder or urethra (Surgical)"
"1.7.3";"Ovary, fallopian tubes, uterus or genitalia (non,obstetric) (Surgical)"
"1.7.4";"Ovary, fallopian tubes, uterus or genitalia (obstetric) (Surgical)"
"1.7.5";"Testes, prostate or penis (Surgical)"
"1.8.1";"Thyroid (Surgical)"
"1.8.2";"Pituitary (Surgical)"
"1.8.3";"Adrenal (Surgical)"
"1.8.4";"Endocrine pancreas (Surgical)"
"1.8.5";"Parathyroids (Surgical)"
"1.8.7";"Thermoregulation (Surgical)"
"1.8.8";"Body fluids or tissues (Surgical)"
"1.8.9";"Body composition (Surgical)"
"1.8.11";"Chromosomal abnormalities (Surgical)"
"1.9.1";"Blood (Surgical)"
"1.9.2";"Marrow (Surgical)"
"1.10.1";"Vertebral column (Surgical)"
"1.10.2";"Pelvis, long bones or joints (Surgical)"
"1.10.3";"Muscles or connective tissue (Surgical)"
"1.11.1";"Skin (Surgical)"
"1.12.1";"Psychiatric (Surgical)"
"1.13.1";"Respiratory (Surgical)"
"1.13.2";"Cardiovascular (Surgical)"
"1.13.3";"Gastrointestinal (Surgical)"
"1.13.4";"Neurological (including eyes) (Surgical)"
"1.13.5";"Genito,urinary (Surgical)"
"1.13.6";"Musculoskeletal (Surgical)"
"1.13.7";"Dermatological (Surgical)"
"1.1.1.8.1";"Mouth, mandible, pharynx, or facial bones deformity (Surgical)"
"1.1.1.8.2";"Tracheo-oesophageal fistula (Surgical)"
"1.1.1.8.3";"Laryngomalacia (Surgical)"
"1.1.1.8.4";"Tracheomalacia (Surgical)"
"1.1.1.8.5";"Choanal atresia (Surgical)"
"1.1.1.8.6";"Vocal cord abnormality (Surgical)"
"1.1.1.15.1";"Post-tonsillectomy bleeding (Surgical)"
"1.1.1.15.2";"Upper airway bleeding not defined (Surgical)"
"1.1.1.27.1";"Mandible, facial bones, dental or salivary infection (Surgical)"
"1.1.1.27.2";"Tonsil or pharyngeal infection (Surgical)"
"1.1.1.27.3";"Epiglottitis (Surgical)"
"1.1.1.27.4";"Croup or laryngotracheobronchitis (Surgical)"
"1.1.1.27.5";"Airway compression by extrinsic abscess (Surgical)"
"1.1.1.27.6";"Pertussis (Surgical)"
"1.1.1.28.1";"Inhalational burns (Surgical)"
"1.1.1.28.2";"Angio-neurotic oedema due to drug or treatment reaction (Surgical)"
"1.1.1.28.3";"Oedema due to venous obstruction (Surgical)"
"1.1.1.30.1";"Extrinsic compression of airway by haematoma (Surgical)"
"1.1.1.30.2";"Extrinsic compression of airway by abscess (Surgical)"
"1.1.1.30.3";"Extrinsic compression of airway by thyroid or lymphoid tissue (Surgical)"
"1.1.1.30.4";"Epiglottitis (Surgical)"
"1.1.1.30.5";"Croup or laryngotracheobronchitis (Surgical)"
"1.1.1.30.6";"Hanging or strangulation (Surgical)"
"1.1.1.30.7";"Tracheal stenosis (Surgical)"
"1.1.1.30.8";"Airway obstruction by foreign body (Surgical)"
"1.1.1.30.9";"Inhalational burns (Surgical)"
"1.1.1.30.10";"Angio-neurotic oedema due to drug or treatment reaction (Surgical)"
"1.1.1.30.11";"Oedema due to venous obstruction (Surgical)"
"1.1.1.30.12";"Obstructive sleep apnoea (Surgical)"
"1.1.1.30.14";"Vascular ring (Surgical)"
"1.1.1.30.15";"Laryngospasm (Surgical)"
"1.1.1.38.1";"Mouth, mandible, pharynx, or facial bones trauma (Surgical)"
"1.1.1.38.2";"Laryngeal trauma or perforation (Surgical)"
"1.1.1.38.3";"Tracheal trauma or perforation (Surgical)"
"1.1.1.39.1";"Head or neck tumour not intra-oral or intra-cranial (Surgical)"
"1.1.1.39.2";"Intra-oral or pharyngeal tumour (Surgical)"
"1.1.1.39.3";"Tracheal tumour (Surgical)"
"1.1.1.39.4";"Laryngeal tumour (Surgical)"
"1.1.1.41.1";"Vascular ring (Surgical)"
"1.1.2.8.1";"Cystic fibrosis (Surgical)"
"1.1.2.8.2";"Bronchopulmonary dysplasia (Surgical)"
"1.1.2.15.1";"Bronchial haemorrhage (Surgical)"
"1.1.2.27.1";"Acute bronchitis or laryngotracheobronchitis (Surgical)"
"1.1.2.27.2";"Exacerbation of chronic obstructive airways disease (COAD/COPD) (Surgical)"
"1.1.2.27.3";"Exacerbation of bronchiectasis (Surgical)"
"1.1.2.27.4";"Bronchiolitis (Surgical)"
"1.1.2.28.1";"Smoke inhalation (Surgical)"
"1.1.2.28.2";"Bronchiolitis obliterans (Surgical)"
"1.1.2.30.1";"Asthma attack in new or known asthmatic (Surgical)"
"1.1.2.30.2";"Drug, procedure or transfusion induced bronchospasm in non-asthmatic (Surgical)"
"1.1.2.30.3";"Obstruction by foreign body (Surgical)"
"1.1.2.30.4";"Sputum retention (Surgical)"
"1.1.2.30.5";"Extrinsic compression of bronchus by tumour (Surgical)"
"1.1.2.30.6";"Chronic obstructive airways disease (COAD/COPD) (Surgical)"
"1.1.2.30.7";"Meconium aspiration (Surgical)"
"1.1.2.30.8";"Bronchiolitis obliterans (Surgical)"
"1.1.2.38.1";"Traumatic rupture or perforation of bronchus (Surgical)"
"1.1.2.38.2";"Instrumental perforation of bronchus (Surgical)"
"1.1.2.39.1";"Bronchial tumour (Surgical)"
"1.1.3.8.1";"Anomalous pulmonary venous drainage (Surgical)"
"1.1.3.8.2";"Pulmonary arterio-venous malformations (Surgical)"
"1.1.3.8.3";"Transposition of great arteries (Surgical)"
"1.1.3.8.4";"Patent ductus arteriosus (Surgical)"
"1.1.3.8.5";"Truncus arteriosus (Surgical)"
"1.1.3.15.1";"Goodpastures syndrome (Surgical)"
"1.1.3.15.2";"Pulmonary vasculitis not defined (Surgical)"
"1.1.3.15.3";"Leptospirosis (Surgical)"
"1.1.3.15.4";"Pulmonary haemorrhage due to contusion (Surgical)"
"1.1.3.15.5";"Pulmonary haemorrhage not defined (Surgical)"
"1.1.3.19.1";"Idiopathic pulmonary hypertension (Surgical)"
"1.1.3.19.2";"Eisenmenger's syndrome (Surgical)"
"1.1.3.19.3";"Cor pulmonale (Surgical)"
"1.1.3.28.1";"Goodpastures syndrome (Surgical)"
"1.1.3.28.2";"Pulmonary vasculitis not defined (Surgical)"
"1.1.3.30.1";"Pulmonary embolus (thrombus) (Surgical)"
"1.1.3.30.2";"Fat embolus (Surgical)"
"1.1.3.30.3";"Venous air embolus (Surgical)"
"1.1.3.30.4";"Pulmonary tumour embolus (Surgical)"
"1.1.3.30.5";"Amniotic fluid embolus (Surgical)"
"1.1.3.38.1";"Traumatic damage to pulmonary vessels (Surgical)"
"1.1.3.38.2";"Instrumental damage to pulmonary vessels (Surgical)"
"1.1.4.6.1";"Lung collapse or atelectasis (Surgical)"
"1.1.4.6.2";"Non-traumatic haemothorax (Surgical)"
"1.1.4.6.3";"Traumatic haemothorax or haemopneumothorax (Surgical)"
"1.1.4.6.4";"Lung collapse due to pneumothorax (Surgical)"
"1.1.4.6.5";"Lung collapse secondary to broncho-pleural fistula (Surgical)"
"1.1.4.8.1";"Lung cyst (Surgical)"
"1.1.4.8.2";"Cystic fibrosis (Surgical)"
"1.1.4.15.1";"Pulmonary haemorrhage due to contusion (Surgical)"
"1.1.4.15.2";"Goodpasture's syndrome (Surgical)"
"1.1.4.15.3";"Leptospirosis (Surgical)"
"1.1.4.15.4";"Pulmonary haemorrhage not defined (Surgical)"
"1.1.4.15.5";"Pulmonary vasculitis not defined (Surgical)"
"1.1.4.27.1";"Bacterial pneumonia (Surgical)"
"1.1.4.27.2";"Fungal or yeast pneumonia (Surgical)"
"1.1.4.27.3";"Viral pneumonia (Surgical)"
"1.1.4.27.4";"Parasitic pneumonia (Surgical)"
"1.1.4.27.5";"Pneumonia, no organism isolated (Surgical)"
"1.1.4.27.6";"Tuberculosis (Surgical)"
"1.1.4.27.7";"Lung abscess (Surgical)"
"1.1.4.31.2";"Sarcoidosis (Surgical)"
"1.1.4.31.3";"Pulmonary fibrosis or fibrosing alveolitis (Surgical)"
"1.1.4.31.4";"Emphysema (Surgical)"
"1.1.4.31.5";"Inhalation pneumonitis (gastrointestinal contents) (Surgical)"
"1.1.4.31.6";"Inhalation pneumonitis (blood) (Surgical)"
"1.1.4.31.7";"Inhalation pneumonitis (smoke or gases) (Surgical)"
"1.1.4.31.8";"Drowning (fresh or salt water) (Surgical)"
"1.1.4.31.9";"Cardiogenic pulmonary oedema (Surgical)"
"1.1.4.31.10";"Non-cardiogenic pulmonary oedema (ARDS) (Surgical)"
"1.1.4.31.11";"Neurogenic pulmonary oedema (Surgical)"
"1.1.4.31.13";"Post-radiotherapy pneumonitis or fibrosis (Surgical)"
"1.1.4.31.14";"Lymphangitis carcinomatosis (Surgical)"
"1.1.4.31.15";"Meconium aspiration (Surgical)"
"1.1.4.31.16";"Hyaline membrane disease (Surgical)"
"1.1.4.37.1";"Lung transplant (Surgical)"
"1.1.4.37.2";"Rejection of lung transplant (Surgical)"
"1.1.4.38.1";"Pulmonary contusion (Surgical)"
"1.1.4.39.1";"Primary lung tumour (Surgical)"
"1.1.4.39.2";"Secondary lung tumour (Surgical)"
"1.1.5.8.1";"Pleural thickening or calcification (Surgical)"
"1.1.5.8.2";"Hiatus hernia (Surgical)"
"1.1.5.8.3";"Diaphragmatic hernia (Surgical)"
"1.1.5.8.4";"Pleural effusion (Surgical)"
"1.1.5.15.1";"Non-traumatic haemothorax (Surgical)"
"1.1.5.15.2";"Traumatic haemothorax or haemopneumothorax (Surgical)"
"1.1.5.27.1";"Pleurisy (Surgical)"
"1.1.5.27.2";"Empyema or infected effusion (Surgical)"
"1.1.5.27.3";"Mediastinitis (Surgical)"
"1.1.5.27.4";"Tuberculosis (Surgical)"
"1.1.5.38.1";"Traumatic haemothorax or haemopneumothorax (Surgical)"
"1.1.5.38.2";"Traumatic pneumothorax (Surgical)"
"1.1.5.38.3";"Traumatic broncho-pleural fistula (Surgical)"
"1.1.5.38.4";"Chylothorax (Surgical)"
"1.1.5.39.1";"Mesothelioma (Surgical)"
"1.1.5.39.2";"Mediastinal tumour (Surgical)"
"1.1.10.7.1";"Toxic or drug-induced coma or encephalopathy (Surgical)"
"1.1.10.7.2";"Metabolic coma or encephalopathy (Surgical)"
"1.1.10.7.3";"Anoxic or ischaemic coma or encephalopathy (Surgical)"
"1.1.10.7.4";"Degenerative coma or encephalopathy (Surgical)"
"1.1.10.7.5";"Post-anaesthetic encephalopathy aetiology uncertain (Surgical)"
"1.1.10.7.6";"Brainstem death (Surgical)"
"1.1.10.7.7";"Primary brain injury (Surgical)"
"1.1.10.8.1";"Congenital hydrocephalus (Surgical)"
"1.1.10.8.2";"Secondary hydrocephalus (Surgical)"
"1.1.10.8.3";"Arnold-Chiari malformation (Surgical)"
"1.1.10.8.4";"Congenital abnormality of skull (Surgical)"
"1.1.10.8.5";"Parkinson's Disease (Surgical)"
"1.1.10.8.6";"Multiple sclerosis (Surgical)"
"1.1.10.8.7";"Central hypoventilation (Ondine's curse) (Surgical)"
"1.1.10.15.1";"Intracerebral bleeding (Surgical)"
"1.1.10.15.2";"Subarachnoid bleeding (Surgical)"
"1.1.10.15.3";"Subdural haematoma (Surgical)"
"1.1.10.15.4";"Extradural haematoma (Surgical)"
"1.1.10.27.1";"Meningitis (Surgical)"
"1.1.10.27.2";"Encephalitis (Surgical)"
"1.1.10.27.3";"Intracranial abscess (Surgical)"
"1.1.10.27.4";"Infected CSF shunt (Surgical)"
"1.1.10.33.1";"Status epilepticus or uncontrolled seizures (Surgical)"
"1.1.10.33.2";"Eclampsia (Surgical)"
"1.1.10.33.3";"Alcohol withdrawal seizures (Surgical)"
"1.1.10.38.1";"Primary brain injury (Surgical)"
"1.1.10.38.2";"Subdural haematoma (Surgical)"
"1.1.10.38.3";"Extradural haematoma (Surgical)"
"1.1.10.38.4";"Non-accidental injury to brain (Surgical)"
"1.1.10.39.1";"Primary brain or meningeal tumour (Surgical)"
"1.1.10.39.2";"Secondary intracranial tumour (Surgical)"
"1.1.10.41.1";"Berry or other intracranial aneurysm (Surgical)"
"1.1.10.41.2";"Intracranial arterio-venous malformation (Surgical)"
"1.1.10.41.3";"Thrombo-occlusive disease of brain (Surgical)"
"1.1.10.41.4";"Venous air embolus (Surgical)"
"1.1.10.41.5";"Vasculitis of cerebral circulation (Surgical)"
"1.1.10.41.6";"Embolic brain lesions causing respiratory failure (Surgical)"
"1.1.6.9.1";"Motor neurone disease (Surgical)"
"1.1.6.9.2";"Chronic spinal cord injury (Surgical)"
"1.1.6.12.1";"Epidural injection or infusion (Surgical)"
"1.1.6.12.2";"Spinal injection or infusion (Surgical)"
"1.1.6.27.1";"Epidural or subdural abscess (Surgical)"
"1.1.6.27.2";"Poliomyelitis (Surgical)"
"1.1.6.27.3";"Tetanus (Surgical)"
"1.1.6.38.1";"Cervical cord injury (Surgical)"
"1.1.6.38.2";"Chronic spinal cord injury (Surgical)"
"1.1.7.8.1";"Pseudocholinesterase deficiency (Surgical)"
"1.1.7.8.2";"Failure of reversal of non-depolarising neuromuscular blockers (Surgical)"
"1.1.7.27.1";"Infective polyneuropathy (Surgical)"
"1.1.7.28.1";"Guillain-Barre syndrome (Surgical)"
"1.1.7.28.2";"Toxic polyneuropathy (Surgical)"
"1.1.8.8.1";"Pseudocholinesterase deficiency (Surgical)"
"1.1.8.8.2";"Failure of reversal of non-depolarising neuromuscular blockers (Surgical)"
"1.1.8.28.1";"Myasthenia gravis (Surgical)"
"1.1.9.8.1";"Thoracoplasty (Surgical)"
"1.1.9.8.2";"Kyphoscoliosis (Surgical)"
"1.1.9.8.3";"Congenital chest wall deformity (Surgical)"
"1.1.9.8.4";"Congenital muscular dystrophy (Surgical)"
"1.1.9.8.5";"Diaphragmatic hernia (Surgical)"
"1.1.9.8.6";"Ankylosing spondylitis (Surgical)"
"1.1.9.38.1";"Flail chest (Surgical)"
"1.1.9.38.2";"Flail sternum (Surgical)"
"1.1.9.38.3";"Fractured ribs (Surgical)"
"1.1.9.38.4";"Penetrating injury to chest wall (Surgical)"
"1.1.9.38.5";"Ruptured diaphragm (Surgical)"
"1.2.1.8.1";"Coronary sinus fistula (Surgical)"
"1.2.1.8.2";"Anomalous coronary artery (Surgical)"
"1.2.1.15.1";"Haemorrhage from coronary arteries (Surgical)"
"1.2.1.27.1";"Mediastinitis (Surgical)"
"1.2.1.28.1";"Kawasaki syndrome (Surgical)"
"1.2.1.30.1";"Acute myocardial infarction (Surgical)"
"1.2.1.30.2";"Acute crescendo or unstable angina (Surgical)"
"1.2.1.30.3";"Chronic angina (Surgical)"
"1.2.1.30.4";"CABG for acute myocardial infarction (Surgical)"
"1.2.1.30.5";"CABG for acute crescendo or unstable angina (Surgical)"
"1.2.1.30.6";"CABG for chronic angina (Surgical)"
"1.2.1.30.7";"Myocardial ischaemia without angina (Surgical)"
"1.2.1.38.1";"Traumatic damage to coronary arteries (Surgical)"
"1.2.1.38.2";"Instrumental damage to coronary arteries (Surgical)"
"1.2.2.8.1";"Complex congenital cardiac abnormality (Surgical)"
"1.2.2.8.2";"Atrial septal defect (Surgical)"
"1.2.2.8.3";"Congenital ventricular septal defect (Surgical)"
"1.2.2.8.4";"Ischaemic ventricular septal defect (Surgical)"
"1.2.2.8.6";"Tetralogy of Fallot (Surgical)"
"1.2.2.8.7";"AV canal defect (Surgical)"
"1.2.2.8.8";"Transposition of great arteries (Surgical)"
"1.2.2.8.9";"Hypertrophic cardiomyopathy (Surgical)"
"1.2.2.8.10";"Toxic myocarditis (Surgical)"
"1.2.2.8.12";"Single ventricle (Surgical)"
"1.2.2.8.13";"Right ventricular outflow tract obstruction (Surgical)"
"1.2.2.8.14";"Left ventricular outflow tract obstruction (Surgical)"
"1.2.2.8.15";"Double outlet left ventricle (Surgical)"
"1.2.2.8.16";"Hypoplastic left or right ventricle (Surgical)"
"1.2.2.8.17";"Ventricular aneurysm (Surgical)"
"1.2.2.13.1";"Left ventricular failure (Surgical)"
"1.2.2.13.2";"Right ventricular failure (Surgical)"
"1.2.2.13.3";"Bi-ventricular failure (Surgical)"
"1.2.2.13.4";"Cardiogenic shock (Surgical)"
"1.2.2.13.5";"Cor pulmonale (Surgical)"
"1.2.2.27.1";"Viral or bacterial cardiomyopathy (Surgical)"
"1.2.2.27.2";"Myocardial or septal abscess (Surgical)"
"1.2.2.27.3";"Myocarditis (Surgical)"
"1.2.2.27.4";"Non-valvular endocarditis (Surgical)"
"1.2.2.28.1";"Toxic myopathy (Surgical)"
"1.2.2.28.2";"Myocarditis (Surgical)"
"1.2.2.37.1";"Heart or heart-lung transplant (Surgical)"
"1.2.2.37.2";"Cardiac transplant rejection (Surgical)"
"1.2.2.38.1";"Myocardial contusion (Surgical)"
"1.2.2.38.2";"Instrumental damage to myocardium (Surgical)"
"1.2.2.38.3";"Ischaemic myocardial perforation (Surgical)"
"1.2.2.38.4";"Ischaemic ventricular septal defect (Surgical)"
"1.2.2.38.5";"Traumatic myocardial perforation (Surgical)"
"1.2.2.38.6";"Haemopericardium or tamponade post surgery (Surgical)"
"1.2.2.38.7";"Papillary muscle rupture (Surgical)"
"1.2.2.39.1";"Myxoma (Surgical)"
"1.2.2.41.1";"Ischaemic cardiomyopathy (Surgical)"
"1.2.2.41.2";"Ischaemic ventricular septal defect (Surgical)"
"1.2.2.41.3";"Papillary muscle rupture (Surgical)"
"1.2.2.41.4";"Acute myocardial infarction (Surgical)"
"1.2.3.8.1";"Constrictive pericarditis (Surgical)"
"1.2.3.8.2";"Pericardial effusion (Surgical)"
"1.2.3.15.1";"Haemopericardium from instrumental myocardial perforation (Surgical)"
"1.2.3.15.2";"Haemopericardium from ischaemic myocardial perforation (Surgical)"
"1.2.3.15.3";"Haemopericardium from traumatic myocardial perforation (Surgical)"
"1.2.3.15.4";"Haemopericardium from coronary artery damage (Surgical)"
"1.2.3.15.5";"Haemopericardium or tamponade post surgery (Surgical)"
"1.2.3.27.1";"Infective pericarditis (Surgical)"
"1.2.3.27.2";"Mediastinitis (Surgical)"
"1.2.3.28.1";"Pericardial effusion (Surgical)"
"1.2.3.39.1";"Malignant pericardial effusion (Surgical)"
"1.2.4.8.1";"Abnormality of aortic valve (Surgical)"
"1.2.4.8.2";"Abnormality of mitral valve (Surgical)"
"1.2.4.8.3";"Abnormality of pulmonary valve (Surgical)"
"1.2.4.8.4";"Abnormality of tricuspid valve (Surgical)"
"1.2.4.8.5";"Tetralogy of Fallot (Surgical)"
"1.2.4.8.6";"AV canal defect (Surgical)"
"1.2.4.8.7";"Abnormality of prosthetic valve (Surgical)"
"1.2.4.9.1";"Chronic degeneration of aortic valve (Surgical)"
"1.2.4.9.2";"Chronic degeneration of mitral valve (Surgical)"
"1.2.4.9.3";"Chronic degeneration of pulmonary valve (Surgical)"
"1.2.4.9.4";"Chronic degeneration of tricuspid valve (Surgical)"
"1.2.4.27.1";"Endocarditis of aortic valve (Surgical)"
"1.2.4.27.2";"Endocarditis of mitral valve (Surgical)"
"1.2.4.27.3";"Endocarditis of pulmonary valve (Surgical)"
"1.2.4.27.4";"Endocarditis of tricuspid valve (Surgical)"
"1.2.4.27.5";"Aortic root abscess (Surgical)"
"1.2.4.27.6";"Infection of prosthetic heart valve (Surgical)"
"1.2.4.27.7";"Non-valvular endocarditis (Surgical)"
"1.2.4.38.1";"Trauma to aortic valve (Surgical)"
"1.2.4.38.2";"Trauma to mitral valve (Surgical)"
"1.2.4.38.3";"Trauma to pulmonary valve (Surgical)"
"1.2.4.38.4";"Trauma to tricuspid valve (Surgical)"
"1.2.4.38.5";"Instrumental damage to heart valves (Surgical)"
"1.2.4.38.6";"Papillary muscle rupture (Surgical)"
"1.2.4.39.1";"Myxoma (Surgical)"
"1.2.4.41.1";"Papillary muscle rupture (Surgical)"
"1.2.5.8.1";"Wolff-Parkinson-White syndrome (Surgical)"
"1.2.5.8.2";"Lown-Ganong-Levine syndrome (Surgical)"
"1.2.5.27.1";"Infected artificial pacemaker (Surgical)"
"1.2.5.32.1";"Supra-ventricular tachycardia, atrial fibrillation or flutter (Surgical)"
"1.2.5.32.2";"Ventricular tachycardia or fibrillation (Surgical)"
"1.2.5.32.3";"Atrial premature beats or ectopics (Surgical)"
"1.2.5.32.4";"Ventricular ectopics (Surgical)"
"1.2.5.40.1";"Heart block (Surgical)"
"1.2.6.8.1";"Coarctation of the aorta (Surgical)"
"1.2.6.8.2";"Marfan's syndrome (Surgical)"
"1.2.6.8.3";"Congenital abnormality of aortic arch (Surgical)"
"1.2.6.8.4";"Transposition of great arteries (Surgical)"
